DATA_CONTABILE;importo;natura_controp;ctp_capogru;ctp_controp;NATURA_RAPPORTO;infragruppo;statoctp;maturity;location
20101231;0.111654;BANCA ESTERA TICKER;100786;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.510436;BANCA ESTERA TICKER;100118;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.716127;BANCA ESTERA TICKER;100118;100191;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.287188;BANCA ESTERA TICKER;100118;100026;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.54702;BANCA ESTERA TICKER;100097;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.649118;BANCA ESTERA TICKER;100100;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.076494;BANCA ESTERA TICKER;100119;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.02784;BANCA ESTERA TICKER;100119;100191;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.022601;BANCA ESTERA TICKER;100119;100026;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;6.577221;BANCA ESTERA TICKER;100119;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.341922;BANCA ESTERA TICKER;100123;100191;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.283066;BANCA ESTERA TICKER;100457;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;52.759232;BANCA ESTERA TICKER;100457;100191;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.157627;BANCA ESTERA TICKER;100457;100026;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.186791;BANCA ESTERA TICKER;100457;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.000504;BANCA ESTERA TICKER;100465;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.085527;BANCA ESTERA TICKER;100467;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;1.099923;BANCA ESTERA TICKER;100272;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.026339;BANCA ESTERA TICKER;100277;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;1.654368;BANCA ESTERA TICKER;100365;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.003657;BANCA ESTERA TICKER;100366;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.036822;BANCA ESTERA TICKER;100367;100026;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;9.310565;BANCA ESTERA TICKER;100278;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.001952;BANCA ESTERA TICKER;100297;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.007623;BANCA ESTERA TICKER;100304;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.1803;BANCA ESTERA TICKER;100309;100070;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.066678;BANCA ESTERA TICKER;100309;100191;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.070861;BANCA ESTERA TICKER;100309;100158;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.126062;BANCA ESTERA NON TICKER;100717;999999;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
20110630;0.001712;BANCA ESTERA TICKER;100754;100382;DEBITI UNSECURED;0;AUSTRALIA;overnight;estero
