"DATA_CONTABILE","importo","natura_controp","CTP_CAPOGRU","ctp_controp","NATURA_RAPPORTO","infragruppo","location","statoctp","maturity"
20081231,0.06,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","AFGHANISTAN","overnight"
20081231,0.57,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","AFGHANISTAN","overnight"
20081231,3.68,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","AFGHANISTAN","longterm"
20081231,0.12,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0.03,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20081231,0,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20081231,0.02,"BANCA ESTERA NON TICKER",100118,999999,"SOFFERENZE",0,"estero","ALGERIA","nonsignif"
20081231,0.03,"BANCA ESTERA NON TICKER",100094,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20081231,0.03,"BANCA ESTERA NON TICKER",100119,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20081231,6.83,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20081231,1.47,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,58.44,"BANCA ESTERA TICKER",100457,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20081231,0.07,"BANCA ESTERA TICKER",100457,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0,"BANCA ESTERA TICKER",100287,100559,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0.24,"BANCA ESTERA NON TICKER",100729,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0.18,"BANCA ESTERA NON TICKER",100729,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20081231,1.15,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0.01,"BANCA ESTERA TICKER",100066,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0.57,"BANCA ESTERA NON TICKER",100398,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20081231,0.72,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20081231,0.15,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20081231,0.1,"BANCA ESTERA NON TICKER",100151,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20081231,4.69,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20081231,60.27,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20081231,0.18,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","overnight"
20081231,40.2,"BANCA ESTERA TICKER",100457,100380,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20081231,0.12,"BANCA ESTERA TICKER",100457,100380,"DEBITI UNSECURED",0,"estero","ANDORRA","overnight"
20081231,2.08,"BANCA ESTERA NON TICKER",100272,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20081231,0.06,"BANCA ESTERA TICKER",100066,100380,"DEBITI UNSECURED",0,"estero","ANDORRA","overnight"
20081231,0.1,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20081231,0,"BANCA ESTERA NON TICKER",100123,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20081231,0.57,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20081231,0.57,"BANCA ESTERA NON TICKER",100457,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20081231,0.02,"BANCA ESTERA NON TICKER",100287,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20081231,0.01,"BANCA ESTERA NON TICKER",100287,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20081231,4.93,"BANCA ESTERA NON TICKER",100287,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20081231,0.24,"BANCA ESTERA TICKER",100304,100386,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20081231,0.17,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20081231,0.25,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20081231,0.12,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20081231,2.36,"BANCA ESTERA NON TICKER",100398,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20081231,9.5,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20081231,0.09,"BANCA ESTERA NON TICKER",100151,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
